"","X","Name","Age","Photo","Nationality","Flag","Overall","Potential","Club","Club.Logo","Value","Wage","Special","Preferred.Foot","International.Reputation","Weak.Foot","Skill.Moves","Work.Rate","Position","Jersey.Number","Contract.Valid.Until","Height","Weight","LS","ST","RS","LW","LF","CF","RF","RW","LAM","CAM","RAM","LM","LCM","CM","RCM","RM","LWB","LDM","CDM","RDM","RWB","LB","LCB","CB","RCB","RB","Crossing","Finishing","Heading.Accuracy","Short.Passing","Volleys","Dribbling","Curve","FK.Accuracy","Long.Passing","Ball.Control","Acceleration","Sprint.Speed","Agility","Reactions","Balance","Shot.Power","Jumping","Stamina","Strength","Long.Shots","Aggression","Interceptions","Positioning","Vision","Penalties","Composure","Marking","Standing.Tackle","Sliding.Tackle","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","League","Country","Values","Wages","Class","Name.Pos","Speed","photo_path"
"11",11,"A. Amade",18,"https://cdn.sofifa.com/players/242/184/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",58,77,"TSG 1899 Hoffenheim","https://cdn.sofifa.com/teams/10029/light_60.png","€230K","€2K",1459,"Right",1,3,2,"Medium/ Medium","RWB",41,"2022",170,63,"45+2","45+2","45+2","51+2","47+2","47+2","47+2","51+2","47+2","47+2","47+2","51+2","46+2","46+2","46+2","51+2","56+2","51+2","51+2","51+2","56+2","57+2","55+2","55+2","55+2","57+2",58,34,52,44,28,59,39,29,33,45,69,64,75,56,80,33,58,56,39,29,64,57,49,39,34,41,55,66,61,12,11,11,8,12,"Bundesliga","Germany",230000,2000,"Defender","A. Amade, RWB",69.3333333333333,NA
"12",12,"A. Areola",25,"https://cdn.sofifa.com/players/193/105/20_120.png","France","https://cdn.sofifa.org/flags/18.png",81,85,"Paris Saint-Germain","https://cdn.sofifa.com/teams/73/light_60.png","€16.5M","€61K",1266,"Right",2,3,1,"Medium/ Medium","GK",23,"2019",196,94,"","","","","","","","","","","","","","","","","","","","","","","","","","",20,19,14,41,16,12,16,16,32,22,54,52,53,77,58,25,59,28,80,14,26,23,17,34,25,64,11,18,12,83,78,70,77,84,"Ligue 1","France",16500000,61000,"Goal Keeper","A. Areola, GK",53,NA
"13",13,"A. Arroyo",24,"https://cdn.sofifa.com/players/235/252/20_120.png","Panama","https://cdn.sofifa.org/flags/87.png",65,69,"Santa Clara","https://cdn.sofifa.com/teams/1438/light_60.png","€725K","€2K",1404,"Right",1,3,2,"High/ Low","ST",16,"2021",183,82,"64+2","64+2","64+2","55+2","59+2","59+2","59+2","55+2","54+2","54+2","54+2","52+2","46+2","46+2","46+2","52+2","40+2","37+2","37+2","37+2","40+2","39+2","40+2","40+2","40+2","39+2",26,62,76,53,51,50,31,25,22,64,60,78,49,61,52,67,67,51,79,54,45,20,65,41,58,61,17,18,22,10,6,6,6,12,"Liga Nos","Portugal",725000,2000,"Forward","A. Arroyo, ST",62.3333333333333,NA
"14",14,"A. Ayew",28,"https://cdn.sofifa.com/players/176/571/20_120.png","Ghana","https://cdn.sofifa.org/flags/117.png",77,77,"Fenerbahçe SK","https://cdn.sofifa.com/teams/326/light_60.png","€9M","€35K",2074,"Left",3,3,4,"High/ Medium","RM",20,"May 31, 2019",175,72,"75+3","75+3","75+3","76+3","76+3","76+3","76+3","76+3","76+3","76+3","76+3","76+3","73+3","73+3","73+3","76+3","68+3","67+3","67+3","67+3","68+3","67+3","64+3","64+3","64+3","67+3",75,73,75,76,64,78,74,57,69,79,75,75,86,77,81,75,89,84,69,74,78,52,78,74,71,74,49,60,57,10,6,12,7,15,"Süper Lig","Turkey",9000000,35000,"Midfielder","A. Ayew, RM",78.6666666666667,NA
"15",15,"A. Ba",27,"https://cdn.sofifa.com/players/204/826/20_120.png","Senegal","https://cdn.sofifa.org/flags/136.png",73,75,"Rayo Vallecano","https://cdn.sofifa.com/teams/480/light_60.png","€3.9M","€15K",1576,"Right",1,3,2,"Low/ Medium","CB",21,"2021",198,79,"47+2","47+2","47+2","42+2","44+2","44+2","44+2","42+2","44+2","44+2","44+2","44+2","50+2","50+2","50+2","44+2","60+2","64+2","64+2","64+2","60+2","63+2","72+2","72+2","72+2","63+2",35,22,79,58,30,35,36,59,41,53,49,53,34,66,30,58,75,66,80,50,80,75,25,40,68,64,72,74,68,11,12,12,15,15,"La Liga","Spain",3900000,15000,"Defender","A. Ba, CB",45.3333333333333,NA
"16",16,"A. Baba",23,"https://cdn.sofifa.com/players/209/620/20_120.png","Ghana","https://cdn.sofifa.org/flags/117.png",74,79,"FC Schalke 04","https://cdn.sofifa.com/teams/34/light_60.png","€6.5M","€56K",1879,"Left",2,2,3,"High/ Medium","LB",14,"Jun 30, 2019",178,70,"64+2","64+2","64+2","69+2","66+2","66+2","66+2","69+2","67+2","67+2","67+2","70+2","67+2","67+2","67+2","70+2","73+2","70+2","70+2","70+2","73+2","73+2","71+2","71+2","71+2","73+2",76,48,67,72,41,75,67,23,67,75,79,78,77,74,75,59,75,68,64,47,73,71,63,55,42,69,70,74,74,12,11,6,11,10,"Bundesliga","Germany",6500000,56000,"Defender","A. Baba, LB",78,NA
"17",17,"A. Babacan",18,"https://cdn.sofifa.com/players/240/041/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",61,76,"Galatasaray SK","https://cdn.sofifa.com/teams/325/light_60.png","€525K","€4K",1557,"Left",1,3,2,"Medium/ Low","CAM",44,"2020",175,70,"53+2","53+2","53+2","60+2","57+2","57+2","57+2","60+2","60+2","60+2","60+2","59+2","56+2","56+2","56+2","59+2","50+2","49+2","49+2","49+2","50+2","48+2","44+2","44+2","44+2","48+2",65,48,47,68,52,67,69,52,62,61,74,64,68,47,74,55,51,34,47,54,43,29,43,65,52,60,40,49,35,11,9,9,6,7,"Süper Lig","Turkey",525000,4000,"Midfielder","A. Babacan, CAM",68.6666666666667,NA
"18",18,"A. Bakir",17,"https://cdn.sofifa.com/players/244/140/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",58,76,"Borussia Dortmund","https://cdn.sofifa.com/teams/22/light_60.png","€250K","€3K",1434,"Right",1,3,3,"Medium/ Medium","RM",42,"2021",178,69,"51+2","51+2","51+2","56+2","53+2","53+2","53+2","56+2","54+2","54+2","54+2","56+2","49+2","49+2","49+2","56+2","45+2","41+2","41+2","41+2","45+2","42+2","37+2","37+2","37+2","42+2",61,48,43,55,52,65,54,44,54,64,67,65,69,46,69,51,62,49,51,41,39,22,44,42,49,48,33,26,24,7,12,9,11,6,"Bundesliga","Germany",250000,3000,"Midfielder","A. Bakir, RM",67,NA
"19",19,"A. Balić",20,"https://cdn.sofifa.com/players/235/874/20_120.png","Croatia","https://cdn.sofifa.org/flags/10.png",70,77,"Udinese","https://cdn.sofifa.com/teams/55/light_60.png","€2.5M","€11K",1755,"Right",1,3,3,"Medium/ Medium","CM",99,"2020",180,70,"60+2","60+2","60+2","66+2","65+2","65+2","65+2","66+2","68+2","68+2","68+2","67+2","69+2","69+2","69+2","67+2","62+2","63+2","63+2","63+2","62+2","60+2","55+2","55+2","55+2","60+2",68,50,50,76,58,74,66,60,76,78,63,52,68,60,66,66,50,62,55,68,48,54,58,70,45,68,51,57,58,5,6,14,11,12,"Serie A","Italy",2500000,11000,"Midfielder","A. Balić, CM",61,NA
"20",20,"A. Bamba",28,"https://cdn.sofifa.com/players/199/313/20_120.png","Ivory Coast","https://cdn.sofifa.org/flags/108.png",72,72,"Angers SCO","https://cdn.sofifa.com/teams/1530/light_60.png","€2.5M","€16K",1818,"Right",1,3,2,"Medium/ Medium","RWB",25,"2021",183,72,"56+2","56+2","56+2","61+2","59+2","59+2","59+2","61+2","62+2","62+2","62+2","64+2","64+2","64+2","64+2","64+2","70+2","68+2","68+2","68+2","70+2","70+2","68+2","68+2","68+2","70+2",64,28,62,69,49,61,58,49,65,69,80,79,78,68,66,50,75,81,72,53,65,68,53,58,38,61,65,72,73,14,13,8,7,8,"Ligue 1","France",2500000,16000,"Defender","A. Bamba, RWB",79,NA
"21",21,"A. Bangoura",26,"https://cdn.sofifa.com/players/203/528/20_120.png","Guinea","https://cdn.sofifa.org/flags/118.png",68,69,"Rayo Vallecano","https://cdn.sofifa.com/teams/480/light_60.png","€1.1M","€8K",1689,"Right",1,2,3,"Medium/ Low","RM",19,"2020",175,72,"64+2","64+2","64+2","68+2","66+2","66+2","66+2","68+2","66+2","66+2","66+2","67+2","59+2","59+2","59+2","67+2","52+2","48+2","48+2","48+2","52+2","48+2","42+2","42+2","42+2","48+2",65,62,46,63,58,71,41,45,60,69,87,87,89,54,76,75,72,60,60,57,63,35,64,63,50,59,40,17,21,11,7,7,8,6,"La Liga","Spain",1100000,8000,"Midfielder","A. Bangoura, RM",87.6666666666667,NA
"22",22,"A. Bannink",28,"https://cdn.sofifa.com/players/198/144/20_120.png","Netherlands","https://cdn.sofifa.org/flags/34.png",66,66,"FC Emmen","https://cdn.sofifa.com/teams/100628/light_60.png","€650K","€3K",1789,"Right",1,3,3,"High/ Medium","RM",10,"2020",185,75,"63+2","63+2","63+2","64+2","64+2","64+2","64+2","64+2","65+2","65+2","65+2","65+2","66+2","66+2","66+2","65+2","61+2","62+2","62+2","62+2","61+2","58+2","57+2","57+2","57+2","58+2",63,64,52,67,54,68,55,64,65,67,59,50,62,62,60,70,57,84,78,66,65,55,65,70,65,66,51,52,52,11,13,10,6,7,"Eredivisie","Netherlands",650000,3000,"Midfielder","A. Bannink, RM",57,NA
"23",23,"A. Barák",23,"https://cdn.sofifa.com/players/236/791/20_120.png","Czech Republic","https://cdn.sofifa.org/flags/12.png",77,84,"Udinese","https://cdn.sofifa.com/teams/55/light_60.png","€12.5M","€24K",1965,"Left",1,3,4,"High/ Medium","CM",72,"2022",190,86,"72+2","72+2","72+2","74+2","74+2","74+2","74+2","74+2","75+2","75+2","75+2","74+2","76+2","76+2","76+2","74+2","67+2","67+2","67+2","67+2","67+2","65+2","61+2","61+2","61+2","65+2",72,68,60,80,64,78,62,66,78,80,66,68,63,72,63,81,58,77,78,78,58,64,74,76,66,76,25,66,62,14,15,10,12,11,"Serie A","Italy",12500000,24000,"Midfielder","A. Barák, CM",65.6666666666667,NA
"24",24,"A. Barillà",30,"https://cdn.sofifa.com/players/173/155/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",67,67,"Parma","https://cdn.sofifa.com/teams/50/light_60.png","€700K","€13K",1960,"Left",1,3,2,"Medium/ Medium","RCM",17,"2020",180,78,"66+2","66+2","66+2","67+2","66+2","66+2","66+2","67+2","66+2","66+2","66+2","67+2","65+2","65+2","65+2","67+2","68+2","65+2","65+2","65+2","68+2","67+2","64+2","64+2","64+2","67+2",68,58,61,69,65,60,65,67,62,67,78,89,83,66,85,76,67,87,76,71,70,62,60,63,55,69,58,61,61,13,12,10,7,8,"Serie A","Italy",700000,13000,"Midfielder","A. Barillà, RCM",83.3333333333333,NA
"25",25,"A. Barkok",20,"https://cdn.sofifa.com/players/236/624/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",69,81,"Fortuna Düsseldorf","https://cdn.sofifa.com/teams/110636/light_60.png","€1.9M","€11K",1779,"Right",1,3,4,"Medium/ Medium","RM",8,"Jun 30, 2019",188,75,"65+2","65+2","65+2","68+2","68+2","68+2","68+2","68+2","68+2","68+2","68+2","67+2","64+2","64+2","64+2","67+2","60+2","59+2","59+2","59+2","60+2","59+2","56+2","56+2","56+2","59+2",56,63,61,65,50,80,63,60,59,81,70,70,75,58,68,63,55,63,67,59,56,49,62,64,53,52,47,54,55,7,12,13,8,13,"Bundesliga","Germany",1900000,11000,"Midfielder","A. Barkok, RM",71.6666666666667,NA
"26",26,"A. Barnes",28,"https://cdn.sofifa.com/players/186/905/20_120.png","Austria","https://cdn.sofifa.org/flags/4.png",76,76,"Burnley","https://cdn.sofifa.com/teams/1796/light_60.png","€8M","€55K",1946,"Right",1,4,3,"High/ High","ST",10,"2021",185,84,"75+2","75+2","75+2","71+2","73+2","73+2","73+2","71+2","72+2","72+2","72+2","71+2","69+2","69+2","69+2","71+2","59+2","61+2","61+2","61+2","59+2","57+2","58+2","58+2","58+2","57+2",66,77,78,70,72,74,60,56,63,77,64,60,68,76,71,81,82,77,78,67,87,41,79,70,77,78,43,46,39,6,10,11,10,10,"Premier League","UK",8000000,55000,"Forward","A. Barnes, ST",64,NA
"27",27,"A. Barrada",29,"https://cdn.sofifa.com/players/192/274/20_120.png","Morocco","https://cdn.sofifa.org/flags/129.png",75,75,"Antalyaspor","https://cdn.sofifa.com/teams/741/light_60.png","€6.5M","€18K",1925,"Right",1,3,3,"Medium/ Medium","CAM",32,"2020",178,73,"70+2","70+2","70+2","73+2","73+2","73+2","73+2","73+2","74+2","74+2","74+2","73+2","70+2","70+2","70+2","73+2","59+2","59+2","59+2","59+2","59+2","56+2","53+2","53+2","53+2","56+2",74,64,61,76,63,76,76,78,75,78,73,76,80,75,72,71,68,63,68,70,70,36,71,74,71,68,44,42,33,11,7,6,16,7,"Süper Lig","Turkey",6500000,18000,"Midfielder","A. Barrada, CAM",76.3333333333333,NA
"28",28,"A. Barreca",23,"https://cdn.sofifa.com/players/220/493/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",75,80,"AS Monaco","https://cdn.sofifa.com/teams/69/light_60.png","€7.5M","€42K",1798,"Left",1,2,3,"High/ Medium","LB",3,"2021",180,70,"58+2","58+2","58+2","66+2","62+2","62+2","62+2","66+2","63+2","63+2","63+2","68+2","64+2","64+2","64+2","68+2","74+2","68+2","68+2","68+2","74+2","74+2","69+2","69+2","69+2","74+2",78,21,65,66,33,75,67,21,58,75,78,91,79,75,78,53,67,78,65,42,62,70,58,51,22,68,69,74,72,11,7,9,13,15,"Ligue 1","France",7500000,42000,"Defender","A. Barreca, LB",82.6666666666667,NA
"29",29,"A. Barzagli",37,"https://cdn.sofifa.com/players/137/186/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",84,84,"Juventus","https://cdn.sofifa.com/teams/45/light_60.png","€4.2M","€95K",1740,"Right",3,3,2,"Low/ High","CB",15,"2019",188,87,"52+3","52+3","52+3","54+3","55+3","55+3","55+3","54+3","57+3","57+3","57+3","57+3","63+3","63+3","63+3","57+3","71+3","75+3","75+3","75+3","71+3","74+3","82+3","82+3","82+3","74+3",40,21,72,65,35,64,50,31,65,65,61,77,52,80,64,54,81,53,83,39,66,90,28,62,60,88,94,90,82,4,2,4,2,4,"Serie A","Italy",4200000,95000,"Defender","A. Barzagli, CB",63.3333333333333,NA
"30",30,"A. Bastoni",19,"https://cdn.sofifa.com/players/237/383/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",67,87,"Parma","https://cdn.sofifa.com/teams/50/light_60.png","€1.5M","€7K",1454,"Left",1,3,2,"Medium/ Medium","CB",95,"Jun 30, 2019",190,75,"45+2","45+2","45+2","41+2","43+2","43+2","43+2","41+2","43+2","43+2","43+2","43+2","47+2","47+2","47+2","43+2","55+2","58+2","58+2","58+2","55+2","58+2","65+2","65+2","65+2","58+2",33,26,69,55,35,36,37,36,42,45,52,55,42,56,57,49,71,55,63,25,64,60,43,38,47,52,73,74,68,11,5,9,11,12,"Serie A","Italy",1500000,7000,"Defender","A. Bastoni, CB",49.6666666666667,NA
"31",31,"A. Bayındır",20,"https://cdn.sofifa.com/players/243/647/20_120.png","Turkey","https://cdn.sofifa.org/flags/48.png",57,66,"MKE Ankaragücü","https://cdn.sofifa.com/teams/101007/light_60.png","€120K","€1K",844,"Right",1,2,1,"Medium/ Medium","GK",1,"2020",198,73,"","","","","","","","","","","","","","","","","","","","","","","","","","",11,10,14,27,15,10,10,14,22,14,19,23,22,45,24,18,32,25,56,11,22,14,14,35,16,49,14,13,10,57,58,52,60,57,"Süper Lig","Turkey",120000,1000,"Goal Keeper","A. Bayındır, GK",21.3333333333333,NA
"32",32,"A. Beck",31,"https://cdn.sofifa.com/players/176/687/20_120.png","Germany","https://cdn.sofifa.org/flags/21.png",74,74,"VfB Stuttgart","https://cdn.sofifa.com/teams/36/light_60.png","€3.7M","€26K",1902,"Right",2,3,3,"Medium/ High","RWB",32,"2019",180,79,"59+2","59+2","59+2","63+2","62+2","62+2","62+2","63+2","64+2","64+2","64+2","65+2","67+2","67+2","67+2","65+2","72+2","72+2","72+2","72+2","72+2","72+2","73+2","73+2","73+2","72+2",69,29,71,73,28,71,77,65,69,72,71,68,71,75,70,70,66,69,69,62,74,73,45,59,42,74,76,76,74,11,13,12,16,16,"Bundesliga","Germany",3700000,26000,"Defender","A. Beck, RWB",70,NA
"33",33,"A. Beghetto",23,"https://cdn.sofifa.com/players/235/328/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",66,72,"Frosinone","https://cdn.sofifa.com/teams/111657/light_60.png","€875K","€4K",1753,"Left",1,2,3,"Medium/ Medium","LM",33,"2022",178,75,"56+2","56+2","56+2","62+2","60+2","60+2","60+2","62+2","61+2","61+2","61+2","64+2","62+2","62+2","62+2","64+2","65+2","61+2","61+2","61+2","65+2","63+2","58+2","58+2","58+2","63+2",71,41,48,65,42,66,68,67,64,66,69,73,69,64,76,58,63,74,55,46,56,60,60,56,58,57,58,58,60,8,7,8,6,13,"Serie A","Italy",875000,4000,"Midfielder","A. Beghetto, LM",70.3333333333333,NA
"34",34,"A. Begović",31,"https://cdn.sofifa.com/players/172/723/20_120.png","Bosnia Herzegovina","https://cdn.sofifa.org/flags/8.png",79,79,"Bournemouth","https://cdn.sofifa.com/teams/1943/light_60.png","€7.5M","€52K",1234,"Right",3,2,1,"Medium/ Medium","GK",27,"2020",198,83,"","","","","","","","","","","","","","","","","","","","","","","","","","",14,19,12,26,12,16,17,15,32,24,52,58,52,74,40,28,38,36,80,12,42,21,11,34,40,61,18,11,12,80,80,72,77,79,"Premier League","UK",7500000,52000,"Goal Keeper","A. Begović, GK",54,NA
"35",35,"A. Behich",27,"https://cdn.sofifa.com/players/202/157/20_120.png","Australia","https://cdn.sofifa.org/flags/195.png",74,75,"PSV","https://cdn.sofifa.com/teams/247/light_60.png","€5M","€13K",1999,"Left",1,4,3,"High/ Medium","LB",16,"2022",170,63,"66+2","66+2","66+2","70+2","68+2","68+2","68+2","70+2","68+2","68+2","68+2","71+2","68+2","68+2","68+2","71+2","73+2","70+2","70+2","70+2","73+2","72+2","68+2","68+2","68+2","72+2",74,65,54,74,57,74,72,55,71,72,84,83,84,66,86,72,73,82,52,62,79,66,63,50,47,65,70,73,74,14,11,11,14,15,"Eredivisie","Netherlands",5000000,13000,"Defender","A. Behich, LB",83.6666666666667,NA
"36",36,"A. Belotti",24,"https://cdn.sofifa.com/players/208/596/20_120.png","Italy","https://cdn.sofifa.org/flags/27.png",82,87,"Torino","https://cdn.sofifa.com/teams/54/light_60.png","€30M","€58K",1962,"Right",3,5,3,"High/ High","LS",9,"2021",180,72,"80+3","80+3","80+3","73+3","77+3","77+3","77+3","73+3","72+3","72+3","72+3","71+3","64+3","64+3","64+3","71+3","56+3","55+3","55+3","55+3","56+3","54+3","55+3","55+3","55+3","54+3",42,88,84,68,80,78,64,56,42,75,78,79,79,76,75,81,83,83,84,67,83,31,85,61,77,75,55,23,32,13,7,12,14,7,"Serie A","Italy",30000000,58000,"Forward","A. Belotti, LS",78.6666666666667,NA
